star,date,Name,Review Like,Review Text
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 15, 2018 November 15, 2018",A Google user Pathao Inc,1,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 15, 2018 November 19, 2018",Sk Imran Pathao Inc,1,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 16, 2018 November 17, 2018",sweet khan Pathao Inc,0,Happy
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 15, 2018 November 19, 2018",Khairul Hassan Pathao Inc,0,good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 15, 2018 November 19, 2018",Tarikul Islam Pathao Inc,0,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 15, 2018 November 17, 2018",A Google user Pathao Inc,0,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 16, 2018 November 17, 2018",Kabir Uddin Pathao Inc,0,Nice
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 20, 2018",A Google user,0,Good
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 15, 2018",Ramim Hasan,4,"Use your app today for a long time. But today I have changed thinking thoughts in the evening and I will not use it. Service is good when I am satisfied with it. While riding in the evening today, my offer was offered by Ride Bill 80৳ on the phone because of my offer. At the end of the ride, Rider s...Full ReviewUse your app today for a long time. But today I have changed thinking thoughts in the evening and I will not use it. Service is good when I am satisfied with it. While riding in the evening today, my offer was offered by Ride Bill 80৳ on the phone because of my offer. At the end of the ride, Rider said 140 ৳. 60 It is better not to seek service with excess. The feedback form did not come at the end of the Ride. That's why should I use it? I have rider phone number :)"
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 13, 2018",Tanvir Afzal,14,User privacy is a big concern and how come you guys keeps hiding what mistake you did. We users are the power of everything remember and we will keep hunting u down.   Low Rating because * Contact & SMS stealing by API post request and hiding the truth from users. * Keep telling wrong and fake stori...Full ReviewUser privacy is a big concern and how come you guys keeps hiding what mistake you did. We users are the power of everything remember and we will keep hunting u down.   Low Rating because * Contact & SMS stealing by API post request and hiding the truth from users. * Keep telling wrong and fake stories to media to proof what you did is right.
