,Unnamed: 0,Review,Comment_Count,Reaction,Name,Date,Time
45,47,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 8:00 PM (ঢাকায়) 
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়) 
শিক্ষা: ক্লাস 8 (আট)পাস 
স্থান: মিরপুর ডিওএইচএস 
স্থায়ী বেতন 10,000 TK + Part time Uber/Pathao Commission 30% (After Expense) X Corolla   শুধুমাত্র আগ্রহী ব্যক্তিকে আপনার…",2,7,Tanvir Rahman to Dhaka Drivers Group,2018-07-10, 5:02 PM
46,48,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",51,2000,Pathao,2017-10-10,12:56 PM
47,50,"Dear Pathao & Pathao Users Of Bangladesh, I would have posted this status yesterday but I was in an immense amount of shock. How can I not be in shock? I literally bathed in my blood yesterday and even...",43,218,Mohammadullah Imran,2018-05-12, 4:29 PM
48,52,"Love is when the other person's happiness is more important than your own. - H Jackson Brown Jr. Check out the full version of ""Pathao"" Natok!",1,12,Real Chamak,2018-02-20, 1:43 PM
49,53,Suggestion: Pathao should introduce wallet system where we can recharge our pathao wallet via bank cards or bkash. Fair should be deducted from the Pathao wallet by the app after ending the ride. Both...,1,14,Muhtasim Rafin to Pathao Users Of Bangladesh,2017-10-05,12:07 AM
50,54,"Dear customers,
In the celebration of Independence, we want to be on your side. We have all worked very hard to get where we are today, be it personal freedom, financial freedom, or national freedom. Keeping all that in mind, we have a small token of appreciation for…",75,53000,Pathao,2017-03-18, 5:48 PM
51,55,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মিরপুর-2
স্থায়ী বেতন 12,000 TK + Part time Uber/Pathao Commission 15% (After Expense)  শুধুমাত্র আগ্রহী ব্যক্তিকে যোগাযোগের নম্বর…",18,14,Zobayed Hassan to Uber driver Dhaka🚃,2018-10-13,12:39 PM
52,56,"...They don't accept bkash let alone pathao pay. As far as I know pathao pays riders bonus amount in bkash still they say ""I don't have bkash"". Moreover reckless riders all around. I am using uber moto an...",5,42,Hossain Aftab to Pathao Users Of Bangladesh,2018-08-30,10:02 PM
53,57,I am a regular user of #Pathao from today i #Boycott #Pathao till  #Pathao  give any assurance to stop this kind of activities.. #Pathao don't have any right to access our personal information. #Boycott #Pathao,2,6,Estaba Hossain,2018-10-11, 2:11 PM
54,58,That shared video explains how Pathao steals your private data. I have given screenshot of Pathao's AndroidManifest.xml. There are all the permissions that Pathao use to steal data from user but when y...,2,15,Anik Chowdhury,2018-07-11, 7:33 AM
