Star,Date,Name,Reaction,Review
1,"9 28, 2018 11 8, 2018",Himu Kobi Pathao Inc,0,"আমি সিলেটের লোক,ঢাকা ভাল করে চিনিই না।আর তাই দু,দুবার চেষ্টা করেছিলাম।একবার ওয়াসা ভবন কারওয়ান বাজার থেকে আরেকবার পল্টন মোড়ের সোনালী ব্যাংকের সামনে থেকে।প্রতিবারই আমার সাথে যোগাযোগ করা হয় এবং আমাকে তারা কোথায় আছে সেই লোকেশনে যেতে বলে।আমার লোকেশনে কেউ আসে নাই।তাই আর এই সার্ভিস নেয়া হয় নাই।আমাকেই যদি খ...Full Reviewআমি সিলেটের লোক,ঢাকা ভাল করে চিনিই না।আর তাই দু,দুবার চেষ্টা করেছিলাম।একবার ওয়াসা ভবন কারওয়ান বাজার থেকে আরেকবার পল্টন মোড়ের সোনালী ব্যাংকের সামনে থেকে।প্রতিবারই আমার সাথে যোগাযোগ করা হয় এবং আমাকে তারা কোথায় আছে সেই লোকেশনে যেতে বলে।আমার লোকেশনে কেউ আসে নাই।তাই আর এই সার্ভিস নেয়া হয় নাই।আমাকেই যদি খুঁজে বের করতে হবে তাহলে কি দরকার এ রাইডের।এখন তো দেখি এ রাইড ব্যবহার করতে হলে ঢাকা শহরকে ভালভাবে চিনতে হবে।আমি প্রথম বারই চরম হতাশ।এটা পরিচিতদের জন্য,আমার মতো অপিরিচিতদের জন্য নহে।যেমন সিলেট আমি অলিগলি চিনি সেই হিসেবে এই সার্ভিস আমাকে সিলেট ই নিতে হবে।ঢাকা!!!!"
1,"11 15, 2018 11 15, 2018",MD Aminul Islam Pathao Inc,0,ব আকার ল
1,"10 24, 2018 11 4, 2018",Sadat Shams Pathao Inc,0,Pathao needs to improve the app. Especially the navigation part
1,"8 10, 2018 11 13, 2018",Akash Chowdhury Pathao Inc,1,Balmarka app code kaj kore na
1,"1 12, 2018 1 17, 2018",Shamsul Arafin Mahtab Pathao Inc,9,Pathao driver behaves too bad with New Customer!! I am to much disappointed at their attitude. Hope I will never use Pathao. Thank you.
1,"8 18, 2018 11 12, 2018",Mehedi 360 Pathao Inc,1,প্রয়জনের সময় পাবেন না এদের৷ আমি পাই নাই।
1,"8 18, 2018 11 12, 2018",Md. Ali Imam Pathao Inc,1,Should be updated. Using shohoz is more fun.
1,"8 17, 2018 11 13, 2018",Imran Hassan Pathao Inc,0,Worst optimized app ever
1,"11 14, 2018 11 19, 2018",Tamzid Evan Pathao Inc,0,Bad service. Poor driving.
1,"11 16, 2018 11 15, 2018",mamunur rashid Pathao Inc,0,bad
1,"11 3, 2018 11 4, 2018",Shakil Pathao Inc,0,savar e koba asbo??
1,"8 15, 2018 11 13, 2018",#জ্ঞানপিপাসু Pathao Inc,0,"Poor, full of bugs."
1,"9 6, 2018 11 12, 2018",A Google user Pathao Inc,0,It sucks really.
1,"11 15, 2018 11 15, 2018",surovi sultana eit Pathao Inc,0,bad
1,"12 13, 2017 12 14, 2017",A Google user Pathao Inc,0,Poor app
1,"11 7, 2018 11 7, 2018",A Google user Pathao Inc,0,It's collect personal data.
1,"11 7, 2018 11 3, 2018",Najib Islam Pathao Inc,29,only one word for it which is *betrayer*
1,"10 24, 2018 11 4, 2018",A Google user Pathao Inc,121,Stop cheating us. Before started the price showed one and after finish it increased more than 50 taka although I dont faced any kind of jam or didnot took the long root. It happens with me continuously. If u dont fix the bug (if u r loyal) we will stop using pathao..... Mind it
