Star,Date,Name,Reaction,Review
1,2018-09-11,Kibria Shohan,10,কানে ধরে তওবা পড়লে আবার ইন্সটল করব 😡🤬😠
1,2018-03-04,Mohammad Al-amin,0,faltu
1,2018-11-13,Wali Ahmed,1,They are stealing customers' private data and storing them for further use.
1,2018-11-18,md arif hosen,0,Age bike show korto akhon kory na ar age vhara Kom Chilo akhon onek Beshi
1,2018-09-11,Mohammad Shoriful Islam Ronju,2,Private data stealing malware!
1,2018-10-11,A Google user,1,Stop stealing our personal data
1,2018-09-11,Nazmul Hasan,2,They steal our personal informations
1,2018-09-11,Subir Chandra Mazumdar,11,Its steal user information
1,2018-11-14,Mohammad Rezaul Karim Bhuyan,0,This app steal personal info. Hate it
1,2018-12-11,A Google user,1,Malware. Steals data and saves in its server
1,2018-10-11,Mehedi Hasan,0,Collects and misused my personal contacts and sms.. Blackmailed me
1,2018-11-14,Sohel Mohammad Rana,1,They are fraud. Stealing personal data.
1,2018-11-11,Rabiul Alam,0,didn't follow user privacy rules.
1,2018-10-11,shohayab hassan,0,চোর ;
1,2018-10-11,AL AMIN,0,চোর 👎
1,2018-11-15,Saikot Mirza,0,Stop stealing information
1,2017-10-12,Jakaria Munim,0,don't like...
1,2018-02-05,masum farid,0,Add add add add
1,2018-09-11,Faisal Islam,4,This app steals data
1,2018-05-24,Mexclusive Sajeeb,0,Bogus..
1,2018-09-11,A Google user,5,Very bad service
1,2018-09-11,Shukhen Khan,5,Lacking personal information
1,2017-12-26,sH ShaRiF,0,yes
1,2018-12-11,Azam Uddin,1,uninstalled cause they got all of my infirmation.dont use it.it will get all of your information
1,2018-09-11,Tasnimul Islam,4,This app is collecting users private information!
1,2018-10-11,Adnan Jr,0,চোর
1,2018-11-18,A Google user,0,They are hack mobile number all my contacts
1,2018-10-11,Faiza Mayameen,1,Accussed of storing sensitive customer data
1,2018-11-17,Rahabar Bin Hossain,1,thief
1,2018-09-11,Tarek Ahmed,29,"Whatever you did with us, never expected anything like this from pathao. remember you're here just because of us. And you're playing with our privacy? Goodbye pathao! Uninstalled!"
1,2018-10-11,Minar Hasan,28,This app should be taken down from play store. Breaching users privacy from every level. Taking users personal information and storing it on their server for selling and manipulating purpose.
1,2018-10-11,ЯOCӃY,27,"You guys are stealing our personal information like all the SMS,All my contacts,My hardware specifications.You actually don't need these informations but still you're stealing these.Not going to use your App anymore"
1,2018-11-14,Zahid Hasan,4,Can you give me my SMS you've stollen before? I just reseted my phone but forgot to take backup :(
1,2018-11-16,Mohammad Sajibul Hasan Chowdhury.,2,You should have aware about the users privacy. don't steal them. and also fix the gps problem. very disgusting. all the day it keeps loading 😑
1,2018-11-18,Zonayat Hossain,0,"Pathao store our personal sensitive data live message, contacts to their servers with out storing permission. They said they will sorte data to givs us safety but how can they givs us safety by stealing our data?"
1,2017-11-26,tanjilur rahman,0,Expensive
1,2018-10-11,Smash Bros,0,Smart chor
1,2018-11-15,Ramim Hasan,4,"Use your app today for a long time. But today I have changed thinking thoughts in the evening and I will not use it. Service is good when I am satisfied with it. While riding in the evening today, my offer was offered by Ride Bill 80৳ on the phone because of my offer. At the end of the ride, Rider s...Full ReviewUse your app today for a long time. But today I have changed thinking thoughts in the evening and I will not use it. Service is good when I am satisfied with it. While riding in the evening today, my offer was offered by Ride Bill 80৳ on the phone because of my offer. At the end of the ride, Rider said 140 ৳. 60 It is better not to seek service with excess. The feedback form did not come at the end of the Ride. That's why should I use it? I have rider phone number :)"
1,2018-09-11,Ahmed Robin,55,They are rated thief who stole user accounts information without prior notice and sell those personal data. They should be punished and everybody should abandon them do that they can pay the price.
1,2018-09-11,A Google user,0,🖕
1,2018-11-13,Zayed Mohammad,5,They steal user information such as all messages and contacts. Stores users message and contacts to their server. They are caught red hand. Google should take steps and remove this thief from play store for good.
1,2018-09-11,AR Sabuj,25,"They take entrance into people's private messages and contact list. Also They are saving these private messages on their servers. Don't trust them, use it at ur own risk."
1,2018-11-19,A Google user,0,Disgusting
1,2018-11-19,A Google user,0,Thiefs
1,2018-11-16,A Google user,0,Bad
1,2017-11-26,yousufctg07,0,Spam
1,2018-09-11,Rafi Ahmad,0,Faltu
1,2017-04-18,Polash TechTube,0,Stupid
1,2018-11-13,Tanvir Afzal,14,User privacy is a big concern and how come you guys keeps hiding what mistake you did. We users are the power of everything remember and we will keep hunting u down.   Low Rating because * Contact & SMS stealing by API post request and hiding the truth from users. * Keep telling wrong and fake stori...Full ReviewUser privacy is a big concern and how come you guys keeps hiding what mistake you did. We users are the power of everything remember and we will keep hunting u down.   Low Rating because * Contact & SMS stealing by API post request and hiding the truth from users. * Keep telling wrong and fake stories to media to proof what you did is right.
1,2018-11-13,MD Abul Kashem,8,"Useless app. Price vary from during pic up time and after reach destination time without any reason, although the road same as well as no traffic. Also show wrong path"
1,2018-09-11,LORDE 2729,82,Hack of privacy. What do u do with private text messages? Besides I complained about a trip and I was not contacted or given any sort of communicated assurance
1,2018-10-11,Mr. Logo,41,"Steal and store users data without letting them know. Yes, we've allowed this app to access phonebook. Like uber. Cause uber allows to call ride for anyone from contact. But this app took phonebook access without any reason. There's no feature like this which require phonebook read access. And also,...Full ReviewSteal and store users data without letting them know. Yes, we've allowed this app to access phonebook. Like uber. Cause uber allows to call ride for anyone from contact. But this app took phonebook access without any reason. There's no feature like this which require phonebook read access. And also, WE GAVE ACCESS TO READ PHONEBOOK, BUT NOT TO STORE OUR PHONEBOOK AND MESSAGES TO YOUR SERVER. It has been proved after testing the get and post request. Cheater."
1,2018-10-11,sakib hossain,41,"They are stealing our private information such as message, contracts etc😡. Not secure enough. Very disappointing indeed. Need to take some actions against it.😏"
1,2018-09-11,Sajib Rahman,183,breaks user's privacy by uploading whole contact list and entire sms to it's server without having authorization. play store should remove this app for breaching its illegal breach of user data.
1,2018-09-11,Mustaq Amit,53,"They are deposited customers private sms, contract list, photo and another data by access in customers phone. They are cheating by stealing customers private information."
1,2018-10-11,Md Salauddin,68,"Digital Thief, This app is stealing user data SMS and Full Contact List!! Its totally illigal and Google should take necessary step for this kind of digital thief!"
1,2018-09-11,Md Mahmudul Huq Topu,0,Either destroy the stolen data or destroy urself
1,2018-11-13,Farhan Hassan,46,"They STEALS personal informations like private sms. Up until this moment, I was proud of Pathao which a giant tech company in BD. Now I doubt their very motive about their service. I don't know whether their true business is to sell ride share sharing service or selling our personal data. Informatio...Full ReviewThey STEALS personal informations like private sms. Up until this moment, I was proud of Pathao which a giant tech company in BD. Now I doubt their very motive about their service. I don't know whether their true business is to sell ride share sharing service or selling our personal data. Information they took from us can be easily used to hack our other information. I hoped that it could be a great app despite its bugs. But guess I'm wrong!!"
1,2018-11-11,Sakib Anowar,46,Reason for 1 star is basically the quality of drivers. I am a regular user of pathao. Most of the drivers take long routes to charge more. Also when i say about that they don't listen. Moreover i never misbehave with any of pathao drivers. Use accurate pick point and destination. 2 of pathao drivers...Full ReviewReason for 1 star is basically the quality of drivers. I am a regular user of pathao. Most of the drivers take long routes to charge more. Also when i say about that they don't listen. Moreover i never misbehave with any of pathao drivers. Use accurate pick point and destination. 2 of pathao drivers told me to move forward from the pick point. I was late for 2 minutes.. cause i am human. Right? I cant teleport myself... there was no reason to rate me negatively. But they did. Now my rating is 96% without doing anything wrong. Although I paid more then i supposed to. I'll think about other alternatives now...as soon as possible i'll stop using pathao. Thanks.
1,2018-10-11,Traveler SaFa,2,privacy risk.
1,2018-10-11,Rashed Alam,1,Steals private data without authorizations
1,2018-09-11,kamrul Hosen Nirob,0,Trash 😝
1,2018-12-11,Mohammad Moniruzzaman Tarafder Papon,1,Shame on you pathao
1,2018-10-11,Sauda Binte Latif,1,Violate personal information
1,2018-12-11,Faisal Ahmed,0,"One word ""Thief"""
1,2018-09-11,Ahmed Reesad,8,privacy hacker app
1,2018-10-11,Emamul Islam Rokon,2,Aggressive!Dangerous!Thefts!
1,2018-10-11,Tahsin Ahmed Nafi,0,Serious security issues.
1,2018-09-11,Md. Hafijur Rahman Tarafder,5,Break my trust.....
1,2018-08-11,Shams Zoha,0,Morons..
1,2018-11-18,Amina Rahman,0,Nothing but a Malware
1,2018-12-11,Nawroz Jahan,2,Steals private information.
1,2018-12-11,Farhan Ijaj,0,"3rd class app, 3rd class customar support"
1,2018-10-11,Emdadul Hoque,2,হালা চোরের বাচ্ছা চোর
1,2018-11-15,Tamzid Khan,2,First you guys steal. Then you are arrogant enough to say that you were right in doing so. Let me ask you this. Did I ask you to keep my data safe? Did I chose you for that service?? You are just lucky this is Bangladesh. Otherwise you would have gotten your ass sued.
1,2018-11-11,Piyal Rifat,22,"Clearly pathao is stealing sms and personal information from the Android users. How would storing my sms in pathao's server help with its service. In iOS where security is tight, the only permission pathao asks for is location. Because of Android's weak security pathao is stealing all of our persona...Full ReviewClearly pathao is stealing sms and personal information from the Android users. How would storing my sms in pathao's server help with its service. In iOS where security is tight, the only permission pathao asks for is location. Because of Android's weak security pathao is stealing all of our personal data. A shame really I used to love pathao. Stay away from the local apps as much as possible."
1,2018-10-11,Shoaib Muhammad,142,"Thief!! You just hack users Private SMS, Photo,Contact lists,Phones Documents!! Google play Should Ban it fromnplay Stores. Legal Steps should be taken by Government..."
